Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.00text,Answer.01,Answer.01text,Answer.02,Answer.02text,Answer.03,Answer.03text,Answer.04,Answer.04text,Answer.05,Answer.05text,Answer.06,Answer.06text,Answer.07,Answer.07text,Answer.08,Answer.08text,Answer.09,Answer.09text,Answer.10,Answer.10text,Answer.11,Answer.11text,Answer.12,Answer.12text,Answer.13,Answer.13text,Answer.14,Answer.14text,Answer.15,Answer.15text,Answer.16,Answer.16text,Answer.17,Answer.17text
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,264,00:1,nvrlkbk,01:0,,02:0,,03:0,,04:1,badtrek1,05:0,,06:0,,07:1,b34st,08:1,wat401k,09:0,,10:0,,11:1,glorp,12:1,lrd-v8r,13:1,hrzpwr,14:1,jdmtyte,15:0,,16:0,,17:1,20ten ss
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,1696,00:1,NVRLKBK,01:1,UR2SLOW,02:1,ONURKNZ,03:1,WSHURME,04:1,BADTREKI,05:0,,06:1,EZDUZIT,07:1,B34ST,08:1,WAT401K,09:0,,10:0,,11:1,GLORP,12:0,,13:1,HRZPWR,14:1,JDMTYTE,15:0,,16:0,,17:1,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,312,00:1,NVRKBK,01:1,UB2SLOW,02:1,ONURKNZ,03:1,WSHURME,04:1,BADTREKI,05:1,RAWRRR,06:1,EZDUZIT,07:1,B34ST,08:1,WAT401K,09:1,H8GAS,10:0,,11:1,GLORP,12:1,ERDV8R,13:1,HRZPWR,14:1,JOMTYTE,15:1,WARTHOG,16:1,WURKH8R,17:1,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,236,00:1,Nvrlkbk,01:1,Ub2slow,02:1,Onurknz,03:1,Wshurme,04:1,Badtreki,05:1,Rawrrr,06:1,Ezduzit,07:1,B345t,08:1,Wat401k,09:1,Hsgas,10:0,,11:1,Glorp,12:1,Lrdv8r,13:1,Hrzpwr,14:1,Jdmtyte,15:1,Warthog,16:1,Wurkh8r,17:1,20tenss
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,252,00:1,NVRLKBK,01:0,,02:1,0NURKNZ,03:1,WSHURME,04:1,BADTREKI,05:1,RAWRRR,06:1,EZDUZIT,07:1,B34ST,08:0,,09:0,,10:0,,11:1,GLORR,12:0,,13:1,HRZPWR,14:1,JDMTYTE,15:0,,16:0,,17:1,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,643,00:1,NVRLKBK,01:0,,02:0,,03:1,WSHURME,04:1,BADTREKI,05:0,,06:1,EZDUZIT,07:1,B34ST,08:1,WAT401K,09:0,,10:0,,11:1,GLORP,12:0,,13:1,HRZPWR,14:1,JDMTYTE,15:0,,16:0,,17:0,
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,703,00:1,NVRLKBK,01:0,,02:1,UNURKNZ,03:1,NSHURNE,04:1,BAOTREKI,05:0,,06:1,EZDUZIT,07:1,B3451,08:1,WAT401K,09:0,,10:0,,11:1,GLORP,12:1,LRD-WBR,13:1,HRZPWR,14:1,JDMTYTE,15:0,,16:1,WURKH8R,17:1,ZOTEN SS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,235,00:1,NVRLKBK,01:0,,02:0,,03:0,,04:1,BADTREKI,05:0,,06:1,EZDUZIT,07:0,,08:1,WAT401K,09:0,,10:0,,11:0,,12:1,LRDV8R,13:1,HRZPWR,14:1,JDMTYTE,15:1,WARTHOG,16:0,,17:0,
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,582,00:1,nvrlkbk,01:1,u425low,02:1,onurknz,03:1,wshurme,04:1,badtreki,05:0,,06:1,ezduzit,07:1,b34st,08:1,wat401k,09:1,h8gas,10:0,,11:1,glorp,12:1,lrdv8r,13:0,,14:1,jdmtyte,15:1,warthog,16:1,wurkh8r,17:1,2otenss
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,254,00:1,NVRLKBK,01:0,,02:0,,03:1,WSHURME,04:1,BADTREKI,05:0,,06:1,EZDUZIT,07:0,,08:1,WAT401K,09:0,,10:0,,11:1,GLORP,12:0,,13:1,HRZPWR,14:1,JOMTYTE,15:0,,16:0,,17:1,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,319,00:0,,01:0,,02:0,,03:1,WSHURME,04:1,BADTREKI,05:0,,06:1,EZDUZIT,07:0,,08:1,WAT401K,09:0,,10:0,,11:1,GLORP,12:0,,13:1,HRZPWR,14:1,JDMTYTE,15:0,,16:1,WUPKH8R,17:0,
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,486,00:1,nvrlkbk,01:0,,02:0,,03:1,wshurme,04:1,badtreki,05:0,,06:1,ezduzit,07:1,b34st,08:0,,09:0,,10:0,,11:1,glorp,12:0,,13:1,hrzpwr,14:1,jdmtyte,15:0,,16:1,wurkh8r,17:1,20tenss
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,231,00:1,NVRLK6k,01:0,,02:0,,03:1,wshurme,04:1,badtreki,05:0,,06:1,ezudzit,07:0,,08:1,wat401k,09:0,,10:0,,11:1,glorp,12:0,,13:0,,14:1,jdmtyte,15:0,,16:1,wurkh8r,17:1,20tenss
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,449,00:1,nvrlkbk,01:0,,02:0,,03:1,wshurme,04:1,badtreki,05:0,,06:1,ezduzit,07:0,,08:1,wat401k,09:0,,10:0,,11:1,glorp,12:0,,13:1,hrzpwr,14:1,jdmtyte,15:0,,16:1,wurkh8r,17:1,20tenss
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,220,00:1,nvrlkbk,01:0,,02:1,0nurkn7,03:1,wshurme,04:1,badtreki,05:1,rawrrr,06:1,ezduzit,07:1,834st,08:1,wat401k,09:0,,10:0,,11:1,glorp,12:1,lrdv8a,13:1,hrzpwr,14:1,jdmtyte,15:0,,16:1,wurkh8r,17:1,2otenss
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,918,00:0,,01:0,,02:0,,03:0,,04:0,,05:0,,06:0,,07:0,,08:0,,09:0,,10:0,,11:0,,12:0,,13:0,,14:0,,15:0,,16:0,,17:0,
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,476,00:1,NVRLKBK,01:0,,02:1,ONURKN7,03:1,WSHURME,04:1,BADTREKI,05:1,RAWAAA,06:1,EZDUZIT,07:1,B3451,08:1,WAT401K,09:0,,10:0,,11:1,GLORP,12:1,LRDVBA,13:1,HRZPWR,14:1,JDMTYTE,15:0,,16:1,WUPKH8R,17:1,20TENSS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,133,00:1,NVRLKBK,01:0,,02:0,,03:0,,04:0,,05:0,,06:1,EZDUZIT,07:0,,08:1,WAT401K,09:0,,10:0,,11:0,,12:1,LRD-V8R,13:0,,14:1,JOMTYTE,15:0,,16:1,WURKH8R,17:1,20TEN SS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,154,00:1,NVRLKBK,01:0,,02:1,ONURKNZ,03:1,WSHURME,04:1,BADTREKI,05:0,,06:1,EZDUZIT,07:0,,08:1,WAT401K,09:0,,10:0,,11:1,GLORP,12:0,,13:1,HRZPWR,14:1,JDHTYTE,15:0,,16:1,WUPKH8R,17:1,20TEN SS
Identify licence plate numbers of cars (BONUS available),Identify the licence plate number of the cars shown,"BONUS, licence plate, number, car, image, identify",$0.04,3600,545,00:1,NVRLKBK,01:0,,02:0,,03:1,WSHURME,04:1,BADTREKI,05:0,,06:0,,07:0,,08:1,WAT401K,09:0,,10:0,,11:1,GLORP,12:0,,13:1,HRZPWR,14:1,JDMTYTE,15:0,,16:0,,17:1,20TENSS
