Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.01,Answer.02,Answer.03,Answer.04,Answer.05,Answer.06,Answer.07,Answer.08,Answer.09,Answer.10,Answer.11,Answer.12,Answer.13,Answer.14,Answer.15,Answer.16,Answer.17,Answer.18,Answer.19,Answer.20
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,169,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:0,10:B,11:A,12:A,13:0,14:B,15:B,16:0,17:A,18:B,19:A,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,97,00:A,01:B,02:B,03:B,04:B,05:0,06:A,07:B,08:B,09:0,10:0,11:0,12:A,13:B,14:B,15:0,16:0,17:0,18:B,19:0,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,366,00:A,01:B,02:B,03:B,04:B,05:B,06:0,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,132,00:B,01:A,02:B,03:A,04:A,05:A,06:A,07:B,08:0,09:B,10:B,11:A,12:A,13:A,14:B,15:B,16:0,17:A,18:B,19:0,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,62,00:A,01:B,02:B,03:B,04:B,05:A,06:A,07:B,08:0,09:B,10:A,11:A,12:A,13:B,14:A,15:A,16:0,17:A,18:A,19:A,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,103,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,71,00:0,01:0,02:0,03:0,04:0,05:0,06:0,07:0,08:0,09:0,10:0,11:0,12:0,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,110,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:0,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,192,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:0,12:0,13:B,14:B,15:B,16:B,17:A,18:B,19:0,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,121,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,149,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:A,11:A,12:A,13:B,14:B,15:0,16:B,17:A,18:0,19:0,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,118,00:A,01:B,02:B,03:B,04:B,05:0,06:0,07:B,08:B,09:B,10:0,11:0,12:0,13:0,14:B,15:B,16:0,17:0,18:B,19:0,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,210,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,84,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,75,00:A,01:B,02:B,03:B,04:B,05:A,06:A,07:B,08:A,09:B,10:A,11:A,12:A,13:A,14:A,15:A,16:A,17:A,18:A,19:A,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,436,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:0,12:A,13:B,14:B,15:B,16:0,17:A,18:B,19:0,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,77,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:B,09:B,10:B,11:A,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,594,00:A,01:B,02:B,03:B,04:B,05:A,06:A,07:B,08:B,09:B,10:B,11:0,12:A,13:B,14:B,15:B,16:B,17:A,18:B,19:A,20:B
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,120,00:A,01:B,02:B,03:B,04:B,05:A,06:A,07:B,08:0,09:B,10:0,11:0,12:0,13:0,14:A,15:A,16:0,17:0,18:0,19:0,20:0
Identify Golden Gate Bridge (BONUS available),Identify if the given photos depict the Golden Gate bridge or not,"BONUS, identify, golden gate bridge, san francisco, california, classify, photo",$0.03,1800,304,00:A,01:B,02:B,03:B,04:B,05:B,06:A,07:B,08:A,09:0,10:B,11:A,12:A,13:B,14:0,15:B,16:0,17:A,18:B,19:A,20:0
