Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.01,Answer.02,Answer.03,Answer.04,Answer.05,Answer.06,Answer.07,Answer.08,Answer.09,Answer.10,Answer.11,Answer.12,Answer.13,Answer.14,Answer.15,Answer.16,Answer.17,Answer.18,Answer.19,Answer.20,Answer.21,Answer.22,Answer.23
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,263,00:A,01:0,02:0,03:C,04:A,05:0,06:D,07:B,08:B,09:C,10:F,11:E,12:G,13:F,14:C,15:0,16:B,17:0,18:B,19:C,20:F,21:A,22:0,23:0
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,138,00:A,01:E,02:B,03:C,04:A,05:G,06:D,07:G,08:B,09:C,10:F,11:E,12:G,13:F,14:C,15:F,16:B,17:D,18:B,19:C,20:F,21:G,22:F,23:F
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,185,00:B,01:E,02:E,03:A,04:A,05:B,06:A,07:B,08:A,09:A,10:F,11:E,12:A,13:F,14:A,15:B,16:B,17:D,18:B,19:A,20:F,21:A,22:F,23:F
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,524,00:A,01:F,02:B,03:0,04:A,05:0,06:D,07:0,08:0,09:C,10:F,11:0,12:G,13:F,14:C,15:F,16:0,17:D,18:B,19:C,20:0,21:A,22:F,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,573,00:0,01:B,02:A,03:C,04:0,05:E,06:D,07:0,08:B,09:C,10:A,11:E,12:0,13:0,14:C,15:0,16:B,17:0,18:B,19:C,20:F,21:0,22:0,23:F
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,510,00:A,01:E,02:E,03:C,04:0,05:0,06:D,07:0,08:0,09:C,10:A,11:E,12:0,13:A,14:C,15:A,16:0,17:D,18:0,19:C,20:0,21:0,22:0,23:0
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,126,00:A,01:E,02:B,03:C,04:G,05:B,06:G,07:B,08:B,09:C,10:0,11:E,12:G,13:F,14:C,15:0,16:B,17:G,18:B,19:C,20:F,21:B,22:0,23:F
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,185,00:0,01:E,02:B,03:C,04:0,05:B,06:D,07:B,08:0,09:C,10:F,11:E,12:G,13:F,14:C,15:0,16:B,17:D,18:B,19:C,20:0,21:0,22:0,23:0
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,998,00:A,01:E,02:B,03:C,04:A,05:B,06:0,07:0,08:B,09:C,10:F,11:E,12:G,13:F,14:C,15:0,16:B,17:0,18:B,19:C,20:F,21:0,22:F,23:0
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,201,00:0,01:E,02:B,03:C,04:0,05:0,06:0,07:B,08:0,09:0,10:0,11:E,12:G,13:F,14:C,15:G,,17:0,18:B,19:C,20:F,21:0,22:F,23:0
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,1583,00:A,01:E,02:A,03:C,04:A,05:B,06:B,07:B,08:B,09:C,10:E,11:E,12:0,13:F,14:C,15:A,16:B,17:B,18:B,19:C,20:E,21:A,22:A,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,269,00:A,01:E,02:0,03:C,04:A,05:0,06:0,07:B,08:0,09:C,10:G,11:E,12:0,13:F,14:C,15:F,16:0,17:G,18:B,19:C,20:F,21:A,22:F,23:0
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,134,00:A,01:B,02:C,03:0,04:F,05:0,06:B,07:0,08:C,09:C,10:B,11:0,,13:F,14:C,15:D,16:0,17:0,18:B,19:C,20:0,21:0,22:E,23:F
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,338,00:A,01:0,02:0,03:C,04:F,05:0,06:0,07:0,08:B,09:C,10:F,11:E,12:F,13:F,14:C,15:0,16:B,17:0,18:B,19:C,20:0,21:A,22:0,23:0
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,215,00:0,01:E,02:0,03:C,04:0,05:0,06:D,07:0,08:B,09:C,10:0,11:0,12:0,13:F,14:C,15:0,16:0,17:0,18:B,19:C,20:0,21:0,22:0,23:0
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,140,00:0,01:E,02:B,03:C,04:A,05:0,06:D,07:0,08:B,09:C,10:F,11:E,12:0,13:F,14:C,15:0,16:B,17:D,18:B,19:C,20:F,21:0,22:F,23:0
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,212,00:B,01:0,02:E,03:C,04:A,05:B,06:D,07:B,08:C,09:C,10:E,11:E,12:G,13:F,14:C,15:0,16:C,17:D,18:G,19:C,20:E,21:0,22:A,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,151,00:A,01:E,02:0,03:B,04:A,05:0,06:0,07:0,08:B,09:C,10:0,11:E,12:0,13:F,14:0,15:0,16:B,17:0,18:0,19:C,20:F,21:0,22:F,23:0
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,141,00:A,01:E,02:E,03:C,04:A,05:0,06:B,07:E,08:C,09:C,10:A,11:E,12:A,13:F,14:C,15:F,16:B,17:0,18:B,19:C,20:F,21:B,22:F,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,173,00:A,01:E,02:B,03:C,04:A,05:B,06:D,07:B,08:B,09:C,10:F,11:E,12:G,13:F,14:C,15:F,16:B,17:D,18:B,19:C,20:F,21:A,22:F,23:F
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,160,00:0,01:B,02:0,03:C,04:A,05:0,06:G,07:0,08:C,09:C,10:F,11:G,12:G,13:F,14:C,15:0,16:0,17:0,18:0,19:C,20:G,21:0,22:0,23:G
