Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.01,Answer.02,Answer.03,Answer.04,Answer.05,Answer.06,Answer.07,Answer.08,Answer.09,Answer.10,Answer.11,Answer.12,Answer.13,Answer.14,Answer.15,Answer.16,Answer.17,Answer.18,Answer.19,Answer.20,Answer.21,Answer.22,Answer.23
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,111,00:A,01:F,02:B,03:C,04:A,05:B,06:G,07:B,08:B,09:C,10:F,11:F,12:G,13:F,14:C,15:G,16:B,17:G,18:B,19:C,20:F,21:A,22:F,23:C
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,155,00:G,01:E,02:B,03:C,04:A,05:B,06:G,07:B,08:B,09:C,10:F,11:E,12:A,13:F,14:C,15:G,16:B,17:G,18:B,19:C,20:G,21:A,22:F,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,217,00:F,01:E,02:B,03:C,04:G,05:A,06:D,07:B,08:C,09:C,10:E,11:E,12:A,13:F,14:C,15:A,16:G,17:D,18:C,19:C,20:E,21:G,22:C,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,201,00:G,01:E,02:B,03:C,04:G,05:E,06:F,07:D,08:C,09:C,10:B,11:E,12:G,13:F,14:C,15:B,16:A,17:G,18:B,19:C,20:E,21:A,22:F,23:F
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,134,00:A,01:E,02:B,03:C,04:A,05:B,06:G,07:B,08:A,09:C,10:F,11:E,12:F,13:F,14:C,15:G,16:B,17:G,18:B,19:C,20:F,21:A,22:F,23:F
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,138,00:G,01:E,02:B,03:C,04:A,05:B,06:D,07:B,08:B,09:C,10:F,11:E,12:G,13:F,14:C,15:F,16:B,17:G,18:B,19:C,20:F,21:B,22:F,23:C
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,231,00:G,01:B,02:B,03:C,04:A,05:B,06:D,07:B,08:E,09:C,10:B,11:G,12:G,13:F,14:C,15:A,16:A,17:D,18:E,19:C,20:G,21:A,22:F,23:F
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,187,00:E,01:B,02:B,03:C,04:A,05:B,06:D,07:B,08:C,09:E,10:F,11:B,12:A,13:F,14:C,15:B,16:B,17:D,18:B,19:E,20:B,21:B,22:B,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,140,00:A,01:E,02:B,03:C,04:A,05:F,06:D,07:B,08:B,09:C,10:F,11:E,12:G,13:F,14:C,15:F,16:G,17:G,18:B,19:C,20:F,21:G,22:F,23:G
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,178,00:G,01:F,02:B,03:G,04:D,05:G,06:D,07:C,08:E,09:E,10:F,11:B,12:G,13:A,14:G,15:D,16:G,17:D,18:G,19:G,20:A,21:A,22:D,23:D
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,201,00:A,01:E,02:E,03:G,04:F,05:B,06:D,07:B,08:C,09:G,10:F,11:E,12:G,13:F,14:C,15:F,16:B,17:D,18:B,19:C,20:E,21:E,22:D,23:F
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,394,00:E,01:B,02:B,03:C,04:D,05:F,06:D,07:A,08:C,09:C,10:A,11:B,12:G,13:A,14:C,15:A,16:E,17:D,18:F,19:C,20:A,21:E,22:A,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,178,00:A,01:E,02:B,03:C,04:G,05:B,06:G,07:G,08:B,09:C,10:F,11:E,12:G,13:F,14:C,15:F,16:G,17:G,18:B,19:C,20:F,21:G,22:F,23:G
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,195,00:A,01:E,02:B,03:C,04:A,05:B,06:D,07:B,08:B,09:C,,11:E,12:G,13:F,14:C,15:F,16:B,17:D,18:B,19:C,20:F,21:A,22:F,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,485,00:A,01:E,02:B,03:C,04:G,05:B,06:G,07:B,,09:C,10:E,11:E,12:G,13:F,14:C,15:B,16:G,17:G,18:C,19:C,20:F,21:A,22:F,23:F
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,78,00:A,01:E,02:B,03:C,04:G,05:B,06:G,07:B,08:B,09:C,10:F,11:E,12:G,13:F,14:C,15:G,16:G,17:G,18:B,19:C,20:F,21:G,22:G,23:G
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,433,00:A,01:E,02:B,03:C,04:A,05:F,06:G,07:F,08:B,09:C,10:F,11:E,12:G,13:F,14:C,15:G,16:B,17:D,18:B,19:C,20:G,21:G,22:F,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,479,00:B,01:E,02:B,03:C,04:A,05:B,06:D,07:A,08:B,09:C,10:F,11:E,12:G,13:F,14:C,15:F,16:B,17:D,18:B,19:C,20:E,21:A,22:A,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,127,00:A,01:F,02:B,03:C,04:A,05:G,06:G,07:B,08:A,09:C,10:F,11:E,12:A,13:F,14:C,15:G,16:G,17:G,18:B,19:C,20:F,21:A,22:A,23:G
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,111,00:G,01:G,02:B,03:C,04:A,05:G,06:E,07:G,08:G,09:C,10:F,11:E,12:G,13:F,14:G,15:F,16:G,17:E,18:G,19:C,20:G,21:G,22:A,23:G
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,190,00:A,01:B,02:G,03:C,04:F,05:B,06:E,07:G,08:G,09:G,10:A,11:B,12:G,13:A,14:G,15:A,16:G,17:G,18:B,19:G,20:G,21:G,22:E,23:A
Identify Textures (Big BONUS),Identify the textures shown in the photos,"Big BONUS, texture, identify, photo",$0.03,3600,149,00:A,01:E,02:B,03:C,04:G,05:B,06:G,07:B,08:B,09:C,10:F,11:E,12:A,13:F,14:C,15:F,16:B,17:G,18:B,19:C,20:F,21:A,22:F,23:A
