Title,Description,Keywords,Reward,AssignmentDurationInSeconds,WorkTimeInSeconds,Answer.00,Answer.00text,Answer.01,Answer.01text,Answer.02,Answer.02text,Answer.03,Answer.03text,Answer.04,Answer.04text,Answer.05,Answer.05text,Answer.06,Answer.06text,Answer.07,Answer.07text,Answer.08,Answer.08text,Answer.09,Answer.09text,Answer.10,Answer.10text
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,89,00:0,,01:0,,02:0,,03:0,,04:0,,05:0,,06:0,,07:0,,08:0,,09:1,also contain fantasy evidence,10:1,and as mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,446,00:1,unrestricted public,01:1,exhibition throughout the,02:1,country suitable for all age,03:0,,04:1,category should not upon,05:1,children ever four such,06:1,may contain educational  and,07:1,a family-oriented themes,08:1,films under this category may,09:1,also contain fantasy evidence,10:1,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,638,00:1,Unrestricted Public,01:1,Exhibition throughout the,02:1,country suitable for all age,03:1,groups. Films under this,04:1,category should not upset,05:0,,06:0,,07:1,or family-oriented themes.,08:1,Films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,566,00:1,Unrestricted. Public,01:1,Exhibition throughout the,02:1,country suitable for all age,03:1,groups. Films under this,04:0,,05:0,,06:1,,07:1,a family oriented theme.,08:1,Films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,702,00:1,Unrestricted Public,01:1,Exhibition throughout the,02:1,country suitable for all age,03:1,groups. Films under this,04:1,category should not upset,05:0,,06:0,,07:1,a family-oriented themes,08:1,Films under this category may,09:1,also contain fantasy violence,10:1,and a mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,297,00:1,Unrestricted public,01:1,Exhibition throughout the,02:1,Country suitable for all age,03:1,Groups films under this,04:1,Category should not upset,05:1,Children over four  Such films,06:0,,07:1,Or family-oriented themes,08:1,Films under this category may,09:1,Also contain fantasy violence,10:1,And or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,283,00:0,,01:1,exhibition throughout the,02:0,,03:1,group films under this,04:0,,05:1,children over four such films,06:1,may contain educational,07:1,or family-oriented themes,08:1,films under this category may,09:1,also contain fantasy violence,10:1,and or mild language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,332,00:1,unrestricted public,01:1,exhibition throughout the,02:1,country suitable for all age,03:1,groups films under this,04:1,category should not upset,05:0,,06:0,,07:1,or family-oriented themes,08:1,films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,1098,00:1,Unrestricted Public,01:1,Exhibition throughout  the,02:1,country suitable for all age,03:1,groups. Films under this,04:1,category should not upset,05:0,,06:0,,07:1,or family-oriented themes.,08:1,Films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,396,00:1,Unrestricted Public,01:1,Exhibition throughout the,02:1,country suitable for all age,03:1,groups. Films under the,04:1,category should not upset,05:0,,06:0,,07:0,,08:1,Films under this category may,09:1,also contain fantasy violence,10:1,and a mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,95,00:1,Unrestricted Public,01:1,exhibition throughtout the,02:1,country suitable for all age,,,,,,,,,,,,,,,,
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,205,00:1,unrestricted public,01:1,exhibition throughout the,02:1,country suitable for all age,03:1,groups films under this,04:1,category should not upset,05:0,,06:0,,07:1,or family oriented themes,08:1,films under this category may,09:0,,10:1,and or mild bad languages
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,141,00:1,Unrestricted Public,01:1,Exhibition throughout the,02:1,Country suitable for all age,03:1,groups Films under this,04:1,category should not upset,05:1,children over four such films,06:0,,07:1,or family oriented themes,08:1,films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,388,00:1,Unrestricted Public,01:1,Exhibition throughout the,02:1,country suitable for all age,03:1,groups Films under this,04:1,category should not upset,05:1,children over four such films,06:1,may contain educational social,07:1,or family-oriented themes,08:1,films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,234,00:1,unrestricted public,01:1,exhibition throughout the,02:1,country suitable for all age,03:1,groups films under this,04:1,category should not upset,05:1,children over four such films,06:0,,07:1,or family oriented themes,08:1,films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,209,00:1,unrestricted public,01:1,exhibition throughout the,02:1,country suitable for all age,03:1,groups films under this,04:1,category should not upset,05:1,children over four such films,06:1,may contain educational and,07:1,or family-oriented themes,08:1,films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,178,00:1,unrestricted public,01:1,exhibition throughout the,02:1,country suitable for all age,03:1,groups films under this,04:1,category should not upset,05:1,children over four such films,06:1,may contain educational and,07:1,or family-oriented themes,08:1,films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,823,00:1,unrestricted public,01:1,exhibition throughout the,02:1,country suitable for all age,03:1,groups films under this,04:1,category should not upset,05:0,,06:0,,07:1,or family-oriented themes,08:1,films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,332,00:1,Unrestricted public,01:1,Exhibition throughout the,02:1,county suitable for all age,03:1,groups films under the,04:1,category should not upset,05:1,children over four such films,06:0,,07:1,or family oriented themes,08:1,Films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,153,00:1,Unrestricted public,01:1,Exhibition throughout the,02:1,country suitable for all age,03:1,groups. Films under the,04:1,category should not upset,05:1,children over four. Such films,06:1,may contain educational and/,07:1,or family-oriented themes.,08:1,Films under this category may,09:1,also contain fantasy violence,10:1,and/or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,326,00:0,,01:1,Eahiliticn thrwgheut the,02:0,,03:0,,04:0,,05:0,,06:0,,07:1,or family-crionted,08:0,,09:0,,10:1,and a mild land language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,633,00:1,unrestricted public,01:1,Exhibition throughout the,02:1,country suitable for all age,03:1,groups Fitnes under the,04:1,category should not upon,05:0,,06:0,,07:0,,08:1,Fitnes under this category may,09:1,also contain fantasy evidence,10:1,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,334,00:1,unrestricted public,01:1,exhibition throughout the,02:1,country suitable for all age,03:1,group Films under the,04:1,category should not upset,05:1,children over four. such films,06:0,,07:1,or family oriented themes,08:1,films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language.
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,377,00:1,unrestricted public,01:1,exhibition throughout the,02:1,country suitable for all age,03:1,groups films under this,04:1,category should not upset,05:1,children over four such films,06:1,may contain educational and,07:1,or family oriented themes,08:1,films under this category may,09:1,also contain fantasy violence,10:1,and or mild bad language
Transcribe image to text (BONUS available),Type out the 11 lines of text in the image into the textboxes given,"BONUS, transcribe, text, image",$0.05,3600,366,00:1,Unrestricted Public,01:1,Exhibition throughout the,02:1,country suitable for all age,03:1,groups. Films under this,04:1,category should not upset,05:1,children over four. Such films,06:0,,07:1,or family-oriented themes.,08:1,Films under this category may,09:1,also contain fantasy violence,10:1,and/or mild bad language.
